City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Grand-Santi,GF,2020-08-21 21:01:13,4.25,-54.38,87.94,52,0,2.73
187,Portland,US,2020-08-21 21:00:21,45.52,-122.68,75.0,56,90,10.29
188,Dakar,SN,2020-08-21 20:57:11,14.69,-17.44,80.6,88,75,11.41
189,San Patricio,MX,2020-08-21 21:01:13,19.22,-104.7,87.8,74,75,5.82
190,Zacapoaxtla,MX,2020-08-21 21:01:14,19.88,-97.58,72.0,72,56,5.7
191,Mana,GF,2020-08-21 21:01:14,5.66,-53.78,81.46,76,1,12.57
192,Gao,ML,2020-08-21 21:01:14,16.64,1.64,94.05,29,60,16.46
193,Raudeberg,NO,2020-08-21 21:01:14,61.99,5.14,62.01,90,99,13.85
194,Bambous Virieux,MU,2020-08-21 21:01:15,-20.34,57.76,70.0,73,40,6.93
195,Pevek,RU,2020-08-21 21:01:15,69.7,170.31,38.71,92,100,3.71
196,Kruisfontein,ZA,2020-08-21 21:01:15,-34.0,24.73,53.01,89,97,1.21
197,Parfenyevo,RU,2020-08-21 21:01:15,58.48,43.41,49.55,78,0,4.16
198,Tiksi,RU,2020-08-21 21:01:16,71.69,128.87,38.61,82,99,11.05
199,Trelew,AR,2020-08-21 21:01:16,-43.25,-65.31,67.46,24,0,8.57
200,Burgeo,CA,2020-08-21 21:01:16,47.62,-57.62,64.02,76,29,15.01
201,Sitka,US,2020-08-21 21:01:16,57.05,-135.33,60.8,82,40,8.05
202,Pahrump,US,2020-08-21 21:01:17,36.21,-115.98,109.0,11,0,5.99
203,Asosa,ET,2020-08-21 21:01:17,10.07,34.53,61.99,98,100,4.65
204,Khatanga,RU,2020-08-21 21:01:17,71.97,102.5,43.2,67,0,13.22
205,Salatiga,ID,2020-08-21 21:01:18,-7.33,110.49,67.82,69,99,2.15
206,Cap Malheureux,MU,2020-08-21 21:01:18,-19.98,57.61,70.0,68,22,3.0
207,Broken Hill,AU,2020-08-21 21:01:18,-31.95,141.43,41.0,80,34,13.87
208,Pangnirtung,CA,2020-08-21 21:01:18,66.15,-65.71,55.4,76,20,8.05
209,Mogadishu,SO,2020-08-21 21:01:19,2.04,45.34,76.42,85,99,15.64
210,Kloulklubed,PW,2020-08-21 21:01:19,7.04,134.26,77.0,88,75,4.7
211,San Bartolome,ES,2020-08-21 21:01:19,27.92,-15.57,79.0,78,20,24.16
212,Chuy,UY,2020-08-21 21:00:51,-33.7,-53.46,50.54,67,0,5.14
213,Victoria,HK,2020-08-21 21:00:12,22.29,114.16,82.0,78,74,1.45
214,Constantine,DZ,2020-08-21 21:01:20,36.37,6.61,86.0,45,20,2.24
215,Ixil,MX,2020-08-21 21:01:21,21.15,-89.48,93.2,56,75,4.7
216,Margate,GB,2020-08-21 21:01:21,51.38,1.39,68.0,75,0,4.0
217,Deputatskiy,RU,2020-08-21 21:01:21,69.3,139.9,32.14,99,100,6.42
218,Saint Anthony,US,2020-08-21 20:57:03,45.02,-93.22,89.01,48,1,11.41
219,Sao Filipe,CV,2020-08-21 21:01:22,14.9,-24.5,77.7,74,40,5.41
220,Kaspiysk,RU,2020-08-21 21:01:22,42.88,47.64,68.0,88,40,6.71
221,Susanville,US,2020-08-21 21:01:22,40.42,-120.65,89.6,8,1,13.87
222,Wanning,CN,2020-08-21 21:01:23,18.8,110.4,78.82,85,25,2.75
223,Vestmanna,FO,2020-08-21 21:01:23,62.16,-7.17,51.8,93,83,14.99
224,Abha,SA,2020-08-21 21:01:23,18.22,42.51,78.8,17,20,0.94
225,Kapaa,US,2020-08-21 21:01:24,22.08,-159.32,84.0,69,75,13.87
226,Aykhal,RU,2020-08-21 21:01:24,66.0,111.5,46.4,65,97,4.47
227,Iqaluit,CA,2020-08-21 21:01:06,63.75,-68.51,55.4,62,75,3.36
228,Muana,BR,2020-08-21 21:01:24,-1.53,-49.22,85.8,62,57,5.12
229,Atar,MR,2020-08-21 21:01:25,20.52,-13.05,88.27,44,9,6.29
230,Ballina,AU,2020-08-21 21:01:25,-28.87,153.57,53.01,71,22,9.17
231,Mendi,PG,2020-08-21 21:01:26,-6.18,143.65,50.34,95,5,4.05
232,Zyryanka,RU,2020-08-21 21:01:26,65.75,150.85,39.07,86,100,12.15
233,Geraldton,AU,2020-08-21 21:01:27,-28.77,114.6,59.0,72,90,10.29
234,Yambio,SS,2020-08-21 21:01:27,4.57,28.4,68.76,92,82,1.43
235,Chara,RU,2020-08-21 21:01:27,56.91,118.26,50.34,71,12,2.73
236,Noumea,NC,2020-08-21 20:56:29,-22.28,166.46,70.0,93,0,2.24
237,Homer,US,2020-08-21 20:56:32,59.64,-151.55,64.99,77,1,6.93
238,Roma,US,2020-08-21 20:58:05,43.21,-75.46,82.4,42,1,17.22
